,Current Qtr.,Next Qtr.,Current Year,Next Year,Next 5 Years (per annum),Past 5 Years (per annum)
ETM,"-1,200.00%",146.40%,446.20%,133.30%,-19.40%,2.78%
EVC,40.00%,104.80%,566.70%,,-16.60%,-19.95%
FOX,-9.30%,55.60%,,14.60%,9.20%,
IHRT,95.30%,85.20%,99.00%,"1,184.60%",-30.80%,
LSXMA,-76.90%,17.50%,-139.90%,321.30%,-11.79%,
LVS,-666.70%,95.20%,125.50%,425.90%,-6.25%,4.25%
LYV,-64.90%,61.00%,58.70%,113.10%,80.30%,22.50%
NFLX,89.80%,69.80%,63.20%,30.90%,44.43%,76.94%
NXST,5.50%,50.20%,-11.00%,48.80%,57.40%,32.56%
QRTEA,-7.40%,-16.70%,-37.10%,26.10%,5.40%,13.95%
ROKU,66.70%,37.10%,-78.60%,324.00%,-31.04%,
RRR,110.60%,117.80%,140.80%,16.10%,-95.10%,36.78%
SBGI,-246.70%,-171.50%,80.40%,98.80%,1.60%,-1.14%
SGA,,,,,2.00%,-10.43%
SIRI,-14.30%,20.00%,8.00%,14.80%,12.93%,22.38%
SONO,54.20%,67.30%,544.40%,25.00%,26.60%,
SSP,213.30%,209.10%,-33.30%,116.40%,10.00%,23.01%
TBTC,,,,,,
TGNA,4.70%,250.00%,-15.70%,50.50%,10.00%,-13.44%
TSQ,700.00%,140.00%,303.60%,95.60%,12.00%,-12.19%
WWE,-25.80%,-53.80%,0.60%,33.10%,26.60%,23.54%
AMWD,29.30%,21.70%,3.80%,13.20%,8.00%,29.64%
BSET,91.70%,116.20%,241.90%,8.10%,16.00%,-15.20%
CAL,102.30%,194.70%,215.00%,10.60%,15.00%,4.60%
COLM,,90.90%,147.50%,20.70%,7.50%,2.36%
CROX,295.50%,9.90%,22.70%,10.60%,10.00%,23.20%
CRWS,-12.50%,,9.20%,1.40%,5.00%,-8.04%
EFOI,,,,,35.00%,-5.13%
FBHS,27.20%,38.30%,19.60%,10.20%,9.25%,16.32%
FL,252.20%,-9.90%,65.10%,10.30%,11.64%,5.84%
FLXS,,,,,,15.82%
FORD,,,166.70%,,,-20.42%
FOSL,,,,,14.90%,-30.86%
GIII,106.70%,100.00%,301.80%,23.50%,-5.70%,6.52%
HBI,420.00%,-31.70%,11.00%,7.50%,4.66%,3.35%
JELD,46.20%,36.20%,26.80%,15.60%,21.00%,-37.71%
LCUT,25.90%,100.00%,12.60%,26.20%,10.00%,-1.99%
LEG,2.40%,212.50%,16.00%,11.70%,5.20%,4.31%
LZB,53.10%,211.10%,16.20%,17.90%,7.80%,12.63%
MHK,68.10%,721.60%,34.00%,9.10%,4.00%,4.03%
NKE,202.00%,21.10%,95.00%,26.60%,34.55%,8.39%
OXM,-80.70%,156.20%,-140.00%,269.90%,10.00%,19.61%
PATK,45.10%,"4,800.00%",47.40%,11.80%,9.50%,30.79%
PRPL,-18.20%,300.00%,309.50%,30.20%,43.10%,
PVH,-117.60%,133.30%,-119.80%,438.60%,-5.35%,6.92%
RL,-14.70%,150.50%,-91.50%,"1,067.90%",4.97%,2.31%
SKX,36.40%,159.10%,192.30%,30.00%,2.98%,13.26%
SPB,9.90%,17.60%,39.80%,5.60%,18.20%,18.30%
SQBG,,,,,15.00%,12.64%
TPX,51.50%,141.20%,27.20%,11.10%,22.90%,-0.48%
UA,111.80%,54.80%,153.80%,128.60%,21.80%,
VNCE,-250.00%,43.40%,"-2,050.00%",74.40%,-11.00%,-31.75%
WHR,75.50%,143.30%,8.00%,0.10%,3.00%,6.31%
WWW,39.30%,475.00%,118.30%,14.80%,5.00%,11.07%
ANDE,102.30%,-34.10%,"1,355.60%",30.50%,8.00%,2.73%
BIG,14.30%,-61.10%,-23.10%,13.50%,9.38%,9.14%
BURL,114.50%,305.40%,371.20%,33.10%,7.20%,43.18%
CASY,-52.70%,-12.00%,13.40%,1.20%,7.85%,-2.46%
CHEF,30.00%,67.30%,81.60%,221.10%,21.20%,3.63%
COST,18.00%,7.60%,13.80%,9.60%,8.64%,11.80%
DG,-17.20%,-19.60%,-9.60%,11.60%,15.06%,14.07%
DLTR,29.80%,3.60%,9.60%,10.30%,9.78%,14.31%
MUSA,-65.80%,-61.30%,-44.60%,7.20%,4.50%,-1.21%
OLLI,30.60%,-47.10%,-12.70%,12.70%,17.70%,33.86%
PETS,14.30%,15.40%,23.30%,10.10%,11.04%,13.65%
PFGC,-51.70%,150.00%,98.60%,58.30%,64.04%,26.68%
RAD,86.50%,75.00%,226.70%,-14.30%,-3.69%,-45.89%
SCI,132.60%,15.50%,-7.20%,-7.00%,10.86%,12.08%
SFM,-23.10%,-21.10%,-23.50%,8.60%,7.05%,11.41%
SYY,-51.10%,310.30%,-31.80%,129.20%,22.94%,18.33%
TGT,244.10%,-28.40%,-8.00%,10.00%,9.94%,10.89%
UNFI,-38.60%,-27.40%,23.20%,1.50%,-3.76%,-3.48%
USFD,-66.70%,236.00%,"1,566.70%",57.30%,100.19%,16.97%
VLGEA,,,,,,4.70%
VVV,-2.60%,46.40%,12.20%,11.40%,10.00%,3.24%
WBA,-27.00%,45.80%,2.30%,7.80%,3.85%,13.36%
WMK,,,,,,11.03%
WMT,1.70%,-7.70%,-1.60%,8.90%,6.29%,0.53%
APA,261.50%,151.40%,230.60%,-5.70%,-24.00%,-25.81%
BCEI,-34.30%,101.60%,-16.90%,13.00%,15.00%,-49.29%
CLR,325.00%,133.80%,190.60%,13.20%,-22.37%,8.42%
COG,171.40%,620.00%,198.10%,-5.00%,43.79%,33.27%
COP,6.70%,159.80%,330.90%,22.30%,-8.50%,24.21%
DVN,130.80%,316.70%,"1,977.80%",41.40%,25.00%,-14.64%
EGY,,,,,2.00%,-38.33%
EOG,134.50%,621.70%,243.20%,3.60%,61.61%,55.65%
EPM,-81.80%,166.70%,-86.40%,,,38.64%
EQT,71.40%,116.70%,321.10%,26.20%,5.00%,10.79%
FANG,-9.70%,"1,126.70%",136.80%,23.50%,49.63%,54.24%
HES,111.70%,103.80%,99.70%,"19,700.00%",-23.40%,-17.73%
KOS,56.20%,87.00%,87.50%,162.50%,23.80%,-22.79%
MRO,68.80%,105.00%,111.20%,53.80%,-19.63%,-24.30%
MUR,43.30%,80.30%,48.00%,98.50%,10.49%,-22.78%
NFG,22.70%,52.60%,29.50%,15.30%,8.50%,1.50%
OXY,25.00%,83.00%,69.30%,10.00%,-5.15%,29.17%
PHX,-118.20%,-105.30%,-125.70%,,,42.55%
PVAC,-74.60%,-45.70%,-56.20%,17.20%,10.00%,
PXD,29.60%,684.40%,307.30%,38.20%,86.00%,43.77%
RRC,625.00%,340.00%,"1,377.80%",-8.70%,31.85%,2.86%
SD,,,,,5.00%,40.15%
SM,-300.00%,-133.30%,-365.20%,133.60%,10.00%,-66.05%
SWN,140.00%,,128.90%,-3.40%,-25.00%,-1.47%
XEC,110.30%,390.20%,351.80%,18.90%,68.31%,28.98%
AROC,119.50%,130.00%,165.20%,46.70%,-12.91%,-12.46%
BKR,,380.00%,"2,266.70%",52.10%,3.25%,-33.03%
BOOM,-97.10%,162.10%,971.40%,182.70%,20.00%,67.59%
DNOW,-85.70%,43.80%,56.90%,146.40%,,
DRQ,,82.10%,-160.00%,186.70%,96.90%,-68.94%
FET,65.50%,-83.00%,62.90%,71.90%,132.10%,-60.94%
FTI,9.10%,-144.40%,-165.00%,207.70%,-2.90%,
GEOS,,,,,37.00%,1.27%
HAL,-45.20%,320.00%,36.90%,43.80%,15.50%,-2.33%
IO,-281.20%,-54.10%,14.90%,15.30%,18.00%,-26.14%
MRC,-325.00%,110.00%,108.30%,"2,100.00%",15.00%,-11.46%
MTRX,150.00%,"1,500.00%",-90.00%,"1,450.00%",10.00%,-13.46%
NOV,-134.50%,-750.00%,-41.90%,125.00%,18.90%,-28.78%
OII,-250.00%,57.10%,25.90%,90.00%,119.50%,-58.41%
RES,,80.00%,74.10%,200.00%,52.00%,-12.41%
SDPI,-600.00%,40.00%,,,,
SLB,-28.00%,340.00%,47.10%,43.00%,41.84%,-20.36%
ASGN,1.90%,8.50%,7.50%,11.40%,10.00%,17.79%
NSP,-8.20%,-49.40%,-17.70%,22.80%,15.00%,43.24%
HP,"-6,400.00%",-67.60%,-200.00%,32.20%,-7.76%,-13.68%
PTEN,-25.00%,5.60%,7.90%,23.20%,-21.30%,-10.44%
RIG,43.30%,,22.40%,-13.60%,4.80%,-59.44%
AWX,,,,,,
CLH,-10.70%,21.20%,0.90%,13.70%,0.40%,7.87%
PESI,,,,,,
RSG,10.40%,13.60%,4.20%,10.00%,7.70%,12.36%
SCHN,219.40%,"2,040.00%",690.70%,-8.80%,10.00%,31.54%
SMED,210.00%,30.80%,142.90%,5.90%,22.50%,-32.63%
SRCL,13.50%,32.60%,11.10%,11.60%,11.00%,-7.66%
WM,8.60%,30.70%,17.10%,10.60%,11.17%,13.97%
YORW,-3.20%,3.10%,3.10%,4.60%,4.90%,4.20%
BJRI,-222.70%,81.80%,82.40%,551.20%,-3.10%,5.58%
CAKE,-325.00%,134.50%,176.50%,126.30%,-5.16%,3.01%
CBRL,119.90%,324.70%,80.40%,120.90%,-3.70%,9.11%
CMG,55.80%,"1,395.00%",114.30%,32.50%,52.56%,-3.40%
DENN,-82.40%,136.00%,433.30%,75.00%,9.00%,13.84%
DIN,-43.40%,241.40%,162.00%,34.80%,58.60%,1.05%
DPZ,-4.90%,-5.70%,3.90%,15.20%,10.88%,30.08%
EAT,-41.40%,233.00%,48.50%,70.90%,41.43%,3.30%
FRGI,72.70%,163.60%,314.30%,60.00%,13.00%,-32.84%
JACK,60.70%,150.00%,38.50%,2.80%,16.54%,9.56%
MCD,21.80%,207.60%,39.30%,9.10%,18.20%,13.35%
NDLS,88.90%,138.90%,186.20%,60.00%,15.60%,-21.85%
PLAY,-261.20%,46.00%,-265.60%,73.10%,4.58%,24.06%
PZZA,260.00%,16.70%,59.30%,15.70%,15.00%,-15.31%
QSR,55.60%,29.40%,28.60%,10.40%,19.13%,40.67%
RAVE,,,,,10.00%,9.36%
RICK,-36.20%,163.50%,241.20%,75.30%,40.00%,22.56%
RUTH,11.10%,116.70%,252.60%,72.40%,14.18%,14.83%
SBUX,62.50%,269.60%,142.70%,21.80%,50.81%,14.45%
SHAK,-500.00%,111.10%,112.50%,728.60%,-6.07%,35.48%
TAST,50.00%,-12.50%,85.70%,700.00%,-28.57%,4.35%
TXRH,139.10%,222.90%,426.70%,39.20%,105.10%,15.17%
WEN,55.60%,50.00%,19.30%,17.60%,15.32%,17.27%
WING,11.10%,-15.40%,64.10%,32.80%,15.05%,13.92%
YUM,34.40%,12.20%,10.20%,14.00%,12.61%,-0.03%
BC,49.00%,78.80%,26.20%,12.00%,15.00%,17.48%
BKNG,-256.50%,137.80%,699.40%,147.90%,135.59%,10.80%
BYD,"2,000.00%",150.00%,"1,480.00%",28.00%,10.82%,17.91%
CCL,-800.00%,57.30%,42.60%,103.70%,-72.42%,18.61%
CHDN,820.00%,522.60%,500.00%,61.80%,34.20%,62.54%
CHH,-22.40%,507.70%,45.90%,29.60%,19.90%,20.13%
CLAR,144.40%,325.00%,38.60%,14.40%,10.00%,24.61%
CZR,20.40%,,68.70%,106.10%,27.50%,31.91%
ELY,-68.80%,-250.00%,-162.70%,138.10%,30.90%,9.32%
EXPE,-31.70%,82.90%,92.80%,993.70%,-15.06%,21.43%
FNKO,350.00%,145.00%,156.80%,15.80%,2.70%,
GOLF,425.00%,"1,733.30%",35.90%,6.30%,5.00%,40.37%
H,-268.60%,46.70%,45.20%,90.50%,3.70%,20.08%
HAS,17.50%,"1,900.00%",17.10%,16.40%,17.50%,1.41%
HLT,-86.50%,163.90%,"1,750.00%",105.90%,-6.25%,10.68%
IGT,-83.90%,,-107.40%,"1,000.00%",30.18%,-23.90%
JAKK,45.80%,59.40%,27.30%,48.00%,15.00%,87.08%
JOUT,20.30%,71.70%,34.20%,2.20%,14.00%,21.13%
KODK,,,,,-12.00%,
MAR,-91.80%,163.20%,994.40%,133.50%,-8.90%,20.16%
MAT,39.30%,61.50%,38.90%,33.30%,10.00%,-21.81%
MGM,-151.20%,61.10%,6.40%,101.10%,-39.13%,-6.36%
MPX,58.30%,360.00%,47.40%,8.30%,10.00%,32.70%
MTN,50.00%,16.20%,-4.50%,231.60%,69.90%,52.04%
NCLH,-114.10%,29.10%,29.70%,108.60%,-24.13%,21.74%
POOL,27.80%,16.80%,3.60%,11.10%,17.00%,32.34%
PRKA,,,,,,
RCL,-211.50%,27.40%,27.00%,110.40%,58.70%,32.83%
SEAS,-6.90%,91.70%,93.70%,852.00%,31.46%,8.31%
SIX,-27.00%,64.20%,77.40%,238.10%,-14.96%,25.64%
STAY,-100.00%,575.00%,37.80%,54.90%,41.71%,5.64%
TRIP,-542.90%,86.80%,108.10%,"1,210.00%",-14.00%,-4.21%
UBER,68.20%,56.90%,60.40%,56.20%,65.50%,
VAC,-112.60%,153.40%,"1,064.40%",133.60%,15.64%,20.15%
VSTO,472.70%,23.50%,"1,254.20%",-15.40%,25.00%,-55.65%
WH,-54.00%,440.00%,90.30%,44.90%,0.50%,
WYND,-62.00%,149.00%,-111.60%,595.40%,12.95%,2.43%
WYNN,44.10%,76.50%,80.90%,151.20%,-1.10%,-0.75%
BE,82.40%,87.00%,89.60%,428.60%,25.00%,
BFAM,-81.10%,20.50%,56.10%,73.60%,28.35%,20.54%
CHGG,36.40%,24.30%,23.10%,24.20%,30.00%,30.74%
EVI,,,,,,-16.54%
FCFS,-25.00%,6.50%,2.70%,20.40%,23.80%,8.24%
FTDR,-61.90%,-6.10%,5.20%,24.50%,13.90%,
HRB,73.80%,-250.90%,309.50%,-23.80%,12.50%,9.17%
PLNT,25.00%,187.50%,"2,725.00%",61.90%,8.80%,33.55%
RGS,91.70%,105.00%,-133.30%,127.10%,8.00%,121.81%
SAM,74.50%,34.60%,49.70%,26.50%,31.09%,7.04%
STZ,-25.70%,9.10%,6.40%,7.10%,8.83%,18.48%
TAP,-22.90%,-12.90%,-0.50%,5.10%,3.00%,8.03%
CBRE,-10.70%,88.60%,12.20%,13.40%,11.00%,16.29%
CSGP,-1.60%,-1.30%,8.90%,31.60%,20.00%,46.53%
CXW,-22.20%,27.80%,111.10%,,6.00%,-8.08%
DEI,-80.00%,400.00%,-12.00%,109.10%,8.00%,21.68%
EXPI,,140.00%,90.50%,80.00%,10.00%,
HIW,-83.20%,-13.90%,-62.30%,12.00%,8.00%,0.22%
JLL,34.70%,84.50%,12.80%,17.00%,9.00%,4.76%
JOE,,,,,-28.10%,32.26%
MMI,,,26.90%,19.00%,6.00%,6.84%
RDFN,46.90%,87.50%,87.00%,"1,200.00%",5.00%,
RLGY,87.30%,102.20%,16.90%,2.10%,27.70%,10.29%
TRC,,,533.30%,,15.00%,45.95%
ZG,200.00%,217.60%,113.60%,46.80%,46.40%,17.87%
BZH,60.00%,9.80%,34.10%,11.40%,4.00%,-1.97%
CCS,112.80%,74.80%,39.00%,10.70%,9.06%,20.84%
CVCO,53.50%,15.00%,-7.20%,19.00%,30.00%,33.00%
KBH,46.00%,120.00%,68.70%,12.10%,19.60%,36.73%
LGIH,34.10%,30.30%,-7.40%,10.70%,14.83%,36.18%
NVR,46.30%,67.50%,38.10%,10.60%,4.80%,29.04%
PHM,66.20%,17.10%,19.30%,10.50%,13.80%,31.39%
TOL,33.90%,65.60%,56.20%,26.60%,17.70%,18.79%
UFI,107.20%,118.20%,130.60%,12.60%,10.00%,-27.97%
CELH,-100.00%,,-36.40%,257.10%,,
COKE,13.00%,9.00%,5.30%,7.00%,,13.34%
FIZZ,5.10%,1.90%,35.30%,2.10%,25.56%,6.59%
JSDA,,,,,50.00%,
KDP,10.30%,18.20%,14.30%,8.70%,8.74%,-21.26%
KO,-2.00%,31.00%,10.30%,8.40%,6.14%,1.91%
MNST,17.30%,18.60%,13.50%,12.60%,15.35%,19.72%
PEP,4.70%,16.70%,9.60%,8.10%,7.80%,5.28%
REED,55.60%,40.00%,65.20%,37.50%,20.00%,
CF,71.00%,20.20%,49.70%,-4.50%,-5.21%,-17.50%
CGA,,,,,12.50%,27.60%
IPI,145.00%,121.40%,140.10%,22.40%,-59.52%,-18.37%
LMNR,212.50%,310.00%,108.70%,866.70%,15.00%,5.72%
MOS,900.00%,690.90%,195.30%,,7.00%,-15.11%
RKDA,18.00%,-200.00%,53.00%,62.40%,14.96%,
SMG,22.40%,-13.20%,21.10%,1.00%,10.10%,4.95%
FCEL,28.60%,37.50%,28.60%,46.70%,15.00%,44.34%
MDU,,6.00%,4.60%,7.40%,8.20%,9.96%
NEP,107.10%,-33.30%,285.20%,14.70%,41.90%,31.68%
NRG,120.40%,25.20%,153.40%,11.60%,-12.70%,10.00%
PNM,11.10%,-52.70%,1.80%,9.10%,4.55%,4.02%
CMPR,84.00%,87.70%,-96.70%,"2,780.00%",20.00%,-8.50%
IPG,36.40%,60.90%,12.10%,10.30%,5.05%,1.40%
NCMI,-240.00%,18.80%,70.00%,183.30%,-6.33%,9.35%
OMC,-5.00%,42.40%,14.10%,7.50%,9.80%,7.80%
QUOT,36.80%,76.20%,76.40%,88.20%,20.00%,-6.56%
SCOR,-57.90%,6.70%,-13.40%,35.50%,20.00%,-57.21%
CNC,88.40%,-25.80%,4.00%,12.70%,10.53%,31.64%
CVS,-9.90%,-29.50%,,8.10%,3.77%,10.62%
UNH,17.20%,-39.00%,7.70%,15.80%,12.41%,23.49%
CODI,31.00%,86.40%,11.40%,9.70%,7.00%,8.22%
LIVE,,,,,,-38.43%
CQP,-27.40%,-24.40%,3.90%,15.80%,8.64%,51.61%
EPD,-21.30%,4.30%,17.50%,3.00%,8.40%,11.37%
ETRN,-43.50%,4.50%,-20.90%,23.50%,-27.00%,
KMI,,29.40%,4.50%,2.20%,1.13%,1.40%
LNG,-40.60%,15.40%,"1,238.20%",37.00%,24.02%,
OKE,-9.60%,140.60%,22.00%,4.80%,-1.60%,19.68%
PUMP,-164.00%,63.20%,64.20%,195.80%,-10.90%,
SMLP,97.80%,-104.00%,-104.00%,645.20%,-19.24%,22.85%
TRGP,102.50%,-4.80%,114.10%,56.90%,71.87%,-27.17%
WMB,167.40%,12.00%,582.40%,3.40%,5.00%,18.23%
CRD-A,,,,,10.00%,
CW,-2.20%,21.40%,4.20%,9.90%,140.00%,16.74%
EHTH,-74.40%,-285.70%,15.60%,47.00%,32.46%,56.43%
GSHD,,-8.00%,23.50%,64.30%,52.30%,
EVA,7.70%,42.30%,22.40%,28.10%,,-3.82%
NP,-33.90%,"1,125.00%",13.80%,34.60%,5.00%,-1.91%
PCH,752.00%,"2,725.00%",50.20%,-52.80%,5.00%,3.80%
RFP,469.70%,440.00%,295.40%,-33.50%,0.21%,8.53%
RYN,,-27.30%,52.00%,10.50%,5.00%,-0.22%
SWM,22.50%,31.90%,16.40%,2.30%,5.00%,0.85%
UFS,633.30%,47.20%,735.30%,21.80%,5.00%,3.86%
VRS,-143.50%,-106.60%,-174.10%,140.90%,,
WY,344.40%,418.20%,44.20%,-35.50%,5.00%,-11.42%
EVR,100.80%,42.50%,3.60%,8.70%,-4.00%,26.01%
JEF,235.10%,318.80%,13.60%,-6.60%,18.00%,5.82%
OCN,124.40%,-110.50%,74.70%,154.20%,3.00%,-47.07%
TREE,-110.00%,-6.50%,31.80%,143.30%,12.50%,47.47%
GWGH,,,,,20.00%,
HNRG,133.30%,600.00%,235.00%,25.90%,,-9.20%
SXC,100.00%,25.00%,,22.50%,8.00%,-12.34%
MO,-4.60%,8.30%,5.00%,6.60%,4.42%,11.39%
PM,15.70%,18.60%,16.10%,9.30%,11.21%,3.91%
TPB,25.50%,11.30%,7.50%,13.90%,22.80%,29.16%
VGR,733.30%,29.40%,-3.30%,4.50%,6.40%,5.47%
Y,102.20%,"1,420.90%",174.80%,35.60%,65.50%,5.95%
